ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	166	0.6565966174686302	3.229532880486881	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	3028	tags=64%, list=19%, signal=52%	11222/6142/6158/65005/51253/6156/6187/6171/6169/65003/7311/6218/6167/64928/6168/6204/6165/6217/6155/6188/51073/6132/11224/200916/6138/6161/6201/6193/6136/6209/6224/6159/6202/6175/6157/10399/57129/6227/7818/6173/4736/6232/6134/79590/64960/51373/6191/100008587/29088/6222/6176/6181/6125/6234/6141/6182/6183/56945/51263/6235/28998/6170/29093/6208/55168/51069/3921/25873/6205/6231/51021/6223/64978/6128/51258/6152/219927/6230/51116/6194/65993/6203/6229/10884/9045/2197/116540/6137/64979/23521/6144/51642/6124/388524/54460/6210/6207/6233/64949/6135/6139/122704/128308/6133/55173/6129
hsa04110	Cell cycle	155	0.6137102304752173	2.9908828287404563	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	1556	tags=37%, list=10%, signal=33%	113130/9319/7272/991/1869/151648/699/995/1029/9133/5347/4171/891/9700/898/701/9212/81620/9088/983/23594/10403/4998/10926/9232/8318/4085/1870/890/990/90381/993/6502/27127/1019/4173/1111/11200/157570/1871/1017/4174/27085/4175/26271/5111/4176/1875/8900/7534/5001/57082/9134/10459/1030/7157/4609
hsa05322	Systemic lupus erythematosus	84	0.6408729603097552	2.832672144029059	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	2799	tags=62%, list=18%, signal=51%	8364/3014/717/6628/92815/8355/8336/8329/85236/714/7124/8970/8363/8357/713/6632/8969/8345/942/718/723790/712/3020/2209/3586/9555/126961/333932/8365/2212/3012/3013/8338/2214/941/3120/54145/3115/3015/3122/81/8341/8347/3117/3113/3123/87/55506/3119/3108/128312/8351
hsa03030	DNA replication	35	0.7429334806893805	2.7238402099663532	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	1510	tags=60%, list=10%, signal=54%	4171/5984/10535/5982/5558/5427/5983/4173/23649/4174/4175/5111/2237/4176/6742/1763/54107/5424/5985/246243/5425
hsa05171	Coronavirus disease - COVID-19	196	0.5234870687965929	2.631791188019925	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	2734	tags=51%, list=17%, signal=42%	6142/717/6158/3627/4600/6156/629/6187/6171/6169/7311/6218/9636/6167/6168/6204/714/7124/6165/6217/6155/6188/6132/11224/200916/5296/6138/6161/4940/6201/6193/6136/5610/4939/6209/713/6224/5970/6159/6202/6175/6157/6227/9641/718/6173/4938/4736/4615/6232/712/6134/6191/6222/6176/1536/6181/6125/6234/6141/6868/6235/2212/6170/3654/6208/3921/25873/6205/6231/6223/6128/6152/115004/719/7132/6230/3455/103/6194/4599/6203/6229/9045/2197/6137/23521/6144/51284/6124/388524/23586/6210/6207/6233/6135/3570/6139/51311
hsa03008	Ribosome biogenesis in eukaryotes	79	0.5934928709302002	2.5833644615651266	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	3700	tags=61%, list=23%, signal=47%	10557/10799/23160/29107/10248/55651/10528/6023/1460/10813/1457/10556/5901/2091/29889/3692/100008587/55916/10885/51602/84128/92856/54433/6949/780851/83732/23560/55127/84916/26354/55505/55272/1736/10775/7514/22803/283106/54552/780852/29102/10436/55226/51068/28987/4931/55341/54913/26851
hsa03040	Spliceosome	149	0.49392042437618	2.3878794435511463	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	3235	tags=44%, list=20%, signal=36%	10262/6628/22827/10465/10713/84321/6626/57819/6631/25804/4116/6635/10189/55110/6629/6636/27258/6632/6633/55696/6427/10523/51634/26870/6060/26863/26869/26871/6434/8896/494115/6637/26864/27316/51729/9410/6100/55660/79228/80145/10946/9939/51690/5093/9775/11157/8175/23658/51691/9128/57461/26834/9343/26835/10285/11017/8683/84844/3312/6627/51645/3183/10907/10084/22916/9092
hsa04020	Calcium signaling pathway	199	-0.4553130403716883	-2.2709769173891563	1e-10	4.4000000000000005e-9	2.4868421052631587e-9	4251	tags=49%, list=27%, signal=36%	57172/2252/5579/4233/5731/2264/401152/3707/3357/801/818/5332/5255/3706/5154/1139/5159/7039/23236/7942/5256/5350/5335/56413/4638/5260/57620/5532/2254/5156/552/116444/89832/492/219931/623/4916/100130933/5578/444/1956/4485/2261/80228/6262/8536/340156/108/5153/845/153/53373/5737/775/817/154/3082/2185/115/6543/107/6263/489/5257/2324/196883/8911/3270/291/185/5533/1910/2905/5136/57105/5336/5733/3791/2246/2767/8912/814/5137/816/624/2902/776/2774/5567/2321/135/2247/84812/3708/4915/9630/1950
hsa00071	Fatty acid degradation	38	-0.6743212112373084	-2.534506732713402	2.3899118015813975e-8	9.347210601740577e-7	5.282962929811512e-7	2374	tags=55%, list=15%, signal=47%	10455/1374/1962/217/34/1375/125/224/23205/35/3032/30/10449/223/23305/126/37/38/36/33/2180
hsa05168	Herpes simplex virus 1 infection	162	0.4255929633066381	2.087780097963432	3.5671964326068554e-8	1.2556531442776131e-6	7.096843429081008e-7	3915	tags=48%, list=25%, signal=36%	1978/841/684/6009/5501/7124/10189/5499/5296/4940/5610/4939/5371/5970/637/9641/6732/6427/718/4938/4615/8772/25833/6892/3654/5819/7157/811/972/578/115004/7132/3455/3120/4049/3115/3122/6890/3460/3117/3113/3123/23586/2923/27102/6352/1616/3665/8683/3119/3108/3054/3592/5500/6891/8740/64170/3106/10379/1965/6772/1967/836/598/55080/3111/581/3118/64135/3107/29992/3112/3109/56829/340061/207/329
hsa03082	ATP-dependent chromatin remodeling	105	0.48511769080706313	2.235306563060106	7.209437038592735e-8	2.3070198523496752e-6	1.3039077514775379e-6	2873	tags=40%, list=18%, signal=33%	6944/3014/54108/92815/8336/86/8329/8607/55257/124944/8089/8099/54107/8969/10467/6599/723790/54815/11177/9555/29844/9219/3012/57459/3013/8338/6603/5977/10856/83444/5928/3015/60/6602/9274/3066/64769/57504/71/9112/55506/9031
hsa04727	GABAergic synapse	71	-0.5395375715739779	-2.281638184818084	1.3823122370053071e-7	4.054782561882234e-6	2.2917281824035358e-6	2315	tags=42%, list=15%, signal=36%	11345/108/54331/4905/2562/775/111/2550/2571/115/2791/107/66008/18/6539/196883/10243/2563/2784/2770/9001/776/10681/2788/5567/6529/112/2744/5334/23710
hsa04976	Bile secretion	46	-0.6057875596704979	-2.350382549891436	1.5486024732664925e-7	4.193139004536964e-6	2.3699260522054017e-6	1634	tags=41%, list=10%, signal=37%	111/57835/115/107/477/196883/3781/9429/476/5567/6550/361/112/760/8671/358/481/5243/486
hsa03050	Proteasome	43	0.6240314051444102	2.3831523827687153	2.6210329227457767e-7	6.5900256343322385e-6	3.724625732322946e-6	4469	tags=72%, list=28%, signal=52%	5690/11047/9491/5692/5708/5714/5698/5683/5704/7979/5688/5686/5691/5687/10213/5682/5693/5721/5696/5685/51371/5720/5700/5701/5695/5710/10197/5718/5699/5684/5702
hsa04070	Phosphatidylinositol signaling system	92	-0.4919389710987744	-2.183015119916785	3.6701477706943306e-7	8.612613435229362e-6	4.867774937973533e-6	4195	tags=50%, list=26%, signal=37%	5579/3707/23262/3633/801/9110/3632/3612/5332/3706/23396/8871/8396/23236/1609/8821/5335/56623/9108/8526/4952/64768/1040/5578/3613/5289/9107/8897/5286/5295/55529/9677/8527/5297/200576/8395/22908/3628/22876/160851/8760/5336/84812/8867/3708/9162
hsa04724	Glutamatergic synapse	93	-0.48457405217016875	-2.1538065602157115	4.4924077753864067e-7	9.883297105850095e-6	5.5859544049212565e-6	2949	tags=43%, list=19%, signal=35%	5532/116444/27165/2891/5594/5578/22941/108/54331/23154/9456/775/111/100137049/1742/115/2791/107/7220/57030/196883/8605/2898/8681/5533/2905/2784/2770/255189/6505/85358/2902/776/10681/2788/5567/112/3708/6506/2744
hsa04612	Antigen processing and presentation	58	0.5582903460345633	2.2852983546869425	6.587555715510129e-7	1.2890264177075732e-5	7.2854662962539274e-6	4509	tags=66%, list=28%, signal=47%	8625/7124/10437/6892/811/920/972/3120/3115/3326/3122/6890/3117/3113/5721/3123/2923/5993/3119/3108/3312/5720/6891/1508/3106/1520/4261/55080/3111/3118/4802/3107/3112/3109/10197/3127/821/567
hsa00280	Valine, leucine and isoleucine degradation	46	-0.5863244043429902	-2.2748678584499626	6.591612363277362e-7	1.2890264177075732e-5	7.2854662962539274e-6	2626	tags=54%, list=17%, signal=45%	11112/197322/1629/316/84693/1962/217/34/3158/224/5019/35/3712/18/4329/4594/3032/30/10449/549/223/27034/5095/38/36
hsa04911	Insulin secretion	67	-0.5237644562693238	-2.204536875921279	8.126160973262426e-7	1.4319490194653658e-5	8.093252532265375e-6	4358	tags=52%, list=27%, signal=38%	3782/9699/5579/818/6804/5332/3767/64764/23236/482/5578/5864/6262/3779/108/775/111/817/115/107/477/196883/6616/3781/27445/2767/6844/476/816/776/5567/112/11069/481/486
hsa04925	Aldosterone synthesis and secretion	85	-0.4830871316921318	-2.1303629821119165	8.539465776188202e-7	1.4319490194653658e-5	8.093252532265375e-6	2988	tags=38%, list=19%, signal=31%	492/482/4929/5578/3777/8536/108/3762/183/775/3164/111/817/115/107/477/196883/8911/185/5587/2767/8912/814/476/816/776/5567/112/3708/5138/481/5443
hsa05169	Epstein-Barr virus infection	185	0.39016389417911007	1.938210025412159	8.542877672946784e-7	1.4319490194653658e-5	8.093252532265375e-6	3942	tags=42%, list=25%, signal=32%	1869/898/1870/890/3627/6502/1019/841/1871/1017/9636/7124/5296/8900/4940/5971/5610/864/4939/5970/11047/637/5708/9641/5714/4938/4615/8772/6892/9134/5704/3654/7979/7157/4609/811/578/3455/3120/3115/3122/10213/6890/3383/3117/3113/3123/23586/3066/2923/4791/3665/25942/3119/3108/5879/5700/6891/5701/3106/10379/4794/695/4067/6772/917/836/55080/3111/581/896/3118/5710/3107/3112/3109/207/9612
hsa05203	Viral carcinogenesis	173	0.3874621703754181	1.9151391453892588	1.4932362970162603e-6	2.3891780752260165e-5	1.350342871464465e-5	3706	tags=38%, list=23%, signal=29%	991/1029/898/8364/983/890/6502/1019/1111/841/1017/85236/8970/4893/8363/5902/23513/5296/8900/5610/5970/2960/7534/8345/718/27044/9134/8365/1030/7157/4055/1388/578/10971/54145/81/8341/8347/3066/387/87/4791/3665/2958/128312/5879/9734/2968/5700/55697/998/51564/1234/8370/5315/148327/3106/10379/7529/5566/4067/836/581/896/3107
hsa04721	Synaptic vesicle cycle	60	-0.5369561260671735	-2.209605353755201	1.8568550023397724e-6	2.8417954818417388e-5	1.6061583315433273e-5	2734	tags=45%, list=17%, signal=37%	529/5864/6812/526/51606/4905/23025/26052/534/57030/6539/6616/8218/161/6857/163/51382/2054/112755/535/6844/6505/523/6529/10497/6506/50617
hsa04261	Adrenergic signaling in cardiomyocytes	132	-0.4220022923247787	-1.99283840350715	1.9702605856465263e-6	2.847042346670498e-5	1.6091238143562327e-5	3167	tags=37%, list=20%, signal=30%	781/5519/1390/492/482/5594/5578/5523/59283/5522/6262/108/7168/9252/153/183/775/6324/111/64091/817/154/115/6543/107/489/10000/477/196883/5526/6300/4634/3784/596/185/2770/6330/5502/476/816/776/785/5567/5600/112/11069/783/481/486
hsa04081	Hormone signaling	133	-0.4164474013831673	-1.9646213560502108	2.0220471212148423e-6	2.847042346670498e-5	1.6091238143562327e-5	4214	tags=47%, list=27%, signal=35%	4090/3667/3690/2775/10411/3685/2057/5332/79602/7433/5744/10266/23236/3643/552/1394/2100/6567/5618/554/1813/9843/5592/108/2796/54331/153/2690/5295/6794/4157/183/3953/111/3717/1733/154/115/2791/107/7253/196883/1734/185/2696/6751/2784/7067/2770/2767/6752/10681/2788/4093/5567/112/5745/11069/6777/9630/10268/5443
hsa05164	Influenza A	142	0.4076062437683957	1.9589397628085845	2.228986746884333e-6	3.0177051342434047e-5	1.7055809520693885e-5	4427	tags=51%, list=28%, signal=37%	3838/3627/4600/8480/1019/29107/841/7124/5296/4940/5610/4939/5371/5970/2224/637/9641/4938/4615/8772/5645/55916/29108/5644/11100/578/91543/7132/3455/103/3120/3115/4599/3122/60/3460/3383/7514/3117/3113/51284/3123/23586/6352/3665/71/3119/3108/3592/56649/10379/1965/6772/4261/836/3111/10898/581/896/3118/64135/3112/3109/207/9230/3553/3337/7706/3127/5605/4792/23633/8743
hsa04927	Cortisol synthesis and secretion	55	-0.546199719608913	-2.1936225749085514	2.3343580503068615e-6	3.043311235955612e-5	1.720053300226109e-5	1747	tags=33%, list=11%, signal=29%	183/775/3164/111/115/107/5151/196883/8911/185/2767/8912/776/5567/112/3708/8622/5443
hsa03013	Nucleocytoplasmic transport	101	0.45117526724132073	2.068223685891622	2.6447849346261054e-6	3.324872489244247e-5	1.879189295655391e-5	2635	tags=37%, list=17%, signal=31%	3838/8480/84321/29107/1434/23636/4116/79711/10189/5901/55110/3840/129401/9631/7329/55916/11260/6613/23165/79023/84305/57510/10921/57122/79228/80145/6612/9939/9775/3837/55705/7514/9972/7341/23225/59343/81929
hsa04061	Viral protein interaction with cytokine and cytokine receptor	70	0.4984288279655905	2.1128318057557864	3.1160849370936065e-6	3.782282406403274e-5	2.1377134414181187e-5	3368	tags=50%, list=21%, signal=40%	3627/6373/7852/7124/6354/1230/4283/643/3586/53833/6364/10563/6351/3588/4055/7132/6348/6375/1435/2833/4049/388372/3559/6362/6352/6370/3560/3570/6355/6846/2919/1234/8740/1436/414062
hsa05150	Staphylococcus aureus infection	57	0.5182979307932708	2.1082912719445486	4.215064536805588e-6	4.7861377966308616e-5	2.705083862330242e-5	3871	tags=63%, list=24%, signal=48%	717/629/714/2359/713/718/2213/712/2209/3875/3586/3689/25984/2212/2214/719/3120/3115/3122/3383/3117/3113/3123/5724/3868/3119/3108/6404/2357/3111/3118/3880/3112/3109/3684/3858
hsa04713	Circadian entrainment	79	-0.4804601060261797	-2.0828332651696795	4.141052667493302e-6	4.7861377966308616e-5	2.705083862330242e-5	2933	tags=42%, list=19%, signal=34%	2891/5594/5578/2982/6262/5592/108/9252/54331/3762/775/111/817/115/2791/107/6263/196883/8911/2905/2784/2770/8912/816/2902/776/10681/2788/5187/5567/112/51655/3708
hsa03440	Homologous recombination	39	0.5969005382126592	2.23161741215211	4.4922117699894494e-6	4.941432946988394e-5	2.7928553438421252e-5	1697	tags=38%, list=11%, signal=34%	7516/5888/146956/8438/83990/675/11073/580/6742/25788/5424/5425/29086/7979/641
hsa04613	Neutrophil extracellular trap formation	136	0.4091643746724887	1.9487928990517254	4.984048012326864e-6	5.3163178798153216e-5	3.004737079201842e-5	3109	tags=41%, list=20%, signal=33%	8364/3014/92815/8355/8336/1535/8329/85236/8970/8363/2359/8357/5296/5970/7417/8969/8345/718/723790/3020/2209/366/1536/3689/9555/126961/333932/8365/2212/3012/3013/27180/8338/2214/653361/54145/3015/60/8341/4688/8347/51284/3066/8520/5880/71/55506/51311/10105/128312/8351/5879/9734/51564/837/8370
hsa05032	Morphine addiction	71	-0.4911476802257178	-2.077003272114419	6.306245742241874e-6	6.504398055600958e-5	3.676229762286427e-5	2269	tags=42%, list=14%, signal=36%	5578/10846/108/5153/54331/5140/3762/2562/111/2550/408/115/2791/107/5151/196883/5144/2563/2784/5136/2770/2869/5137/10681/2788/27115/5567/112/5138/8622
hsa04072	Phospholipase D signaling pathway	129	-0.40918249183529165	-1.927346121570267	6.4674412484668615e-6	6.504398055600958e-5	3.676229762286427e-5	4049	tags=47%, list=26%, signal=35%	10411/2914/9265/5900/5332/2475/5154/23396/5159/5604/23236/1609/3643/5335/1902/5156/552/1759/5894/8526/5781/5594/5578/1956/554/108/22808/5295/5737/183/8527/111/9267/100137049/2185/8613/115/8395/107/10000/26052/56895/196883/8605/185/8681/160851/2549/7248/5336/255189/53358/25759/8611/4254/112/11069/3815/9162/1950
hsa04964	Proximal tubule bicarbonate reclamation	21	-0.7011108072892743	-2.2463646796750734	7.979214159726709e-6	7.201752267240517e-5	4.070368356783666e-5	1491	tags=67%, list=9%, signal=60%	4190/482/27165/2746/762/477/476/6550/760/2744/8671/358/481/486
hsa03410	Base excision repair	44	0.5749462057608642	2.2048565293080387	7.837734066096584e-6	7.201752267240517e-5	4.070368356783666e-5	2482	tags=41%, list=16%, signal=35%	55247/5984/5982/328/5427/5983/5111/2237/54107/5424/55775/5985/5425/4913/142/7374/54936/6996
