gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Type
ENSG00000002079	65.8522166951565	-5.49115282854802	0.144718261571025	-37.9437451012571	0	0	Downregulated
ENSG00000006453	3357.43955270199	2.98162750095705	0.0738648423064011	40.3659902039575	0	0	Upregulated
ENSG00000010278	31995.4510085564	4.07442496143357	0.106582375148179	38.2279429949743	0	0	Upregulated
ENSG00000035141	3751.65855919943	2.1643435275458	0.0549758033173378	39.369020495299	0	0	Upregulated
ENSG00000039068	10601.3362964646	4.24634905696315	0.0964724742470255	44.016172386022	0	0	Upregulated
ENSG00000047457	22389.7402234392	6.00234296733912	0.153675606978882	39.0585277998215	0	0	Upregulated
ENSG00000052344	9604.2326489382	4.71213471260439	0.112882312348756	41.7437826578711	0	0	Upregulated
ENSG00000059573	5327.6569854236	2.00693355253634	0.0527791378097349	38.025129545905	0	0	Upregulated
ENSG00000073111	5576.16367035327	3.13768475284427	0.0754411854065224	41.5911379962621	0	0	Upregulated
ENSG00000073905	70.8213046768636	-4.69294704957017	0.0959569956214042	-48.9067734893042	0	0	Downregulated
ENSG00000075275	6625.61563975936	4.00589218184566	0.105165700384684	38.0912423650731	0	0	Upregulated
ENSG00000076554	4972.71785201079	3.52474189380623	0.0779324434550968	45.2281711895396	0	0	Upregulated
ENSG00000076944	5137.78864535957	3.24760584019268	0.0823118424214303	39.4549039926137	0	0	Upregulated
ENSG00000078795	66.8272538012818	-5.52031106741677	0.127140612814816	-43.4189433667215	0	0	Downregulated
ENSG00000084090	8598.51159082568	1.96814581553957	0.0495683136304271	39.705724713851	0	0	Upregulated
ENSG00000084734	151.271810256547	-6.1518327481829	0.134598420366977	-45.7050887477742	0	0	Downregulated
ENSG00000088325	5708.73143542406	4.16011914063274	0.0994955645885038	41.8121064776934	0	0	Upregulated
ENSG00000095303	14481.3447169432	4.90934778067562	0.116414152221758	42.1714000143536	0	0	Upregulated
ENSG00000095464	70.1685669139203	-5.34400609877207	0.121979410289819	-43.8107225315723	0	0	Downregulated
ENSG00000096696	19211.4104019583	4.57638056887953	0.104606022817242	43.7487292378465	0	0	Upregulated
ENSG00000100024	67.0487660644167	-6.2221555090531	0.137343410242762	-45.3036334109885	0	0	Downregulated
ENSG00000101162	71.7573074587549	-4.74027717346184	0.124148210881276	-38.1824042393571	0	0	Downregulated
ENSG00000101166	5026.81856795374	2.48252302653334	0.0649110742397658	38.24498447466	0	0	Upregulated
ENSG00000101278	66.3928454212963	-5.32557488913532	0.123061643261083	-43.2756685837257	0	0	Downregulated
ENSG00000101440	134.115987538285	-6.40484446966807	0.128958374775021	-49.6659831580684	0	0	Downregulated
ENSG00000101443	72930.1119129078	7.559036736633	0.143437318085343	52.6992336271616	0	0	Upregulated
ENSG00000102362	1657.01457973676	-4.41444760904822	0.10651770063776	-41.4433242796018	0	0	Downregulated
ENSG00000102554	5708.44368826918	3.40886187557816	0.08736939391068	39.0166593013467	0	0	Upregulated
ENSG00000102854	42590.1781303709	6.80026919538386	0.135493617449388	50.1888526072013	0	0	Upregulated
ENSG00000103472	148.614338701771	-3.84725754580053	0.10004697183864	-38.4545126663657	0	0	Downregulated
ENSG00000104341	34695.1773412585	3.9271364023142	0.0917659925400227	42.795117162836	0	0	Upregulated
ENSG00000104413	7634.19202929853	4.35544900750568	0.0948729633518992	45.9082214113057	0	0	Upregulated
ENSG00000104804	66.1689593632663	-6.36334131365444	0.152138013947236	-41.8261100467721	0	0	Downregulated
ENSG00000104826	64.9766208754524	-5.7763832473963	0.151228148537822	-38.1964819595184	0	0	Downregulated
ENSG00000105699	14322.4811450615	4.74903662077723	0.0859090122287058	55.279841981356	0	0	Upregulated
ENSG00000105988	71.5679764056266	-4.56000341768832	0.107740341746896	-42.3240110784194	0	0	Downregulated
ENSG00000106336	100.318143475286	-3.45953711659498	0.085359118175484	-40.5292040328105	0	0	Downregulated
ENSG00000108785	67.1231665082965	-6.12315989387285	0.136721976137586	-44.7854841398064	0	0	Downregulated
ENSG00000108958	66.6480321666981	-5.37527672957676	0.102623162777292	-52.3787864659942	0	0	Downregulated
ENSG00000109919	4368.45278624404	2.26515923254518	0.0588720908606178	38.4759433448362	0	0	Upregulated
ENSG00000110057	5944.57822188104	3.26779096814059	0.0866041961148824	37.7324785026097	0	0	Upregulated
ENSG00000110195	21431.6328680567	6.17656909995152	0.162758162083908	37.9493662306612	0	0	Upregulated
ENSG00000111057	47242.890162587	6.01983735510796	0.0985414315146148	61.0894043508507	0	0	Upregulated
ENSG00000111206	4898.9886571405	3.80776662140476	0.0999055224958525	38.113675062986	0	0	Upregulated
ENSG00000111319	20574.8164760383	5.07786643016067	0.100157248427959	50.6989410138707	0	0	Upregulated
ENSG00000111328	10958.726515122	2.8337184910938	0.0681934941128719	41.5540885235109	0	0	Upregulated
ENSG00000112053	69.2688760169924	-4.96796108236212	0.126914075915694	-39.1442875545359	0	0	Downregulated
ENSG00000112706	66.2458754367046	-5.64707828713624	0.1390266857529	-40.6186643704728	0	0	Downregulated
ENSG00000113645	4282.7002908404	3.54009350954445	0.0919653857282801	38.4937602502312	0	0	Upregulated
ENSG00000114124	65.324326328974	-5.7967316501261	0.14073672444345	-41.1884792192623	0	0	Downregulated
ENSG00000114354	9664.92829686879	1.94421587307642	0.0492276451852999	39.4943911242985	0	0	Upregulated
ENSG00000114686	9562.39873379657	2.67802068523612	0.0554445620099372	48.300871864695	0	0	Upregulated
ENSG00000116652	84.53715036588	-4.86213325676785	0.129440824728727	-37.5625948533437	0	0	Downregulated
ENSG00000118640	6166.47303240524	3.72800445668706	0.0939775660916976	39.6690892489118	0	0	Upregulated
ENSG00000119888	17306.3632359892	5.75260796581526	0.089934169769102	63.9646530410474	0	0	Upregulated
ENSG00000120215	70.3018676866903	-4.80894055671992	0.125430997380144	-38.3393312431812	0	0	Downregulated
ENSG00000120555	64.9850510958006	-5.73764346520215	0.125466793817693	-45.7303744729392	0	0	Downregulated
ENSG00000121053	65.2846471001779	-5.7554337367093	0.130886420176197	-43.9727339854006	0	0	Downregulated
ENSG00000122194	68.451856110596	-6.31097744107878	0.159323310133155	-39.6111368499962	0	0	Downregulated
ENSG00000122432	83.176147684095	-3.79554114722638	0.0992539087972171	-38.2407221360012	0	0	Downregulated
ENSG00000124103	64.9829908624608	-5.82424907827044	0.131073455089646	-44.4350007733223	0	0	Downregulated
ENSG00000125618	21601.608252092	5.56885984787689	0.112537077337347	49.4846674503853	0	0	Upregulated
ENSG00000125637	3239.19930863044	2.80796115001189	0.0694780162102202	40.4151025486368	0	0	Upregulated
ENSG00000125787	66.532597222221	-5.86766712408368	0.129995218430953	-45.1375611726849	0	0	Downregulated
ENSG00000127838	8940.88039231671	2.8840784428497	0.0663030155457622	43.4984505472321	0	0	Upregulated
ENSG00000128254	69.3177974496192	-4.9337111054306	0.118563415893276	-41.6124237671394	0	0	Downregulated
ENSG00000128617	66.0367810631369	-5.48084042767997	0.129182419609977	-42.427138648026	0	0	Downregulated
ENSG00000129354	5825.34787624816	4.22762392851951	0.100939966085601	41.8825574493886	0	0	Upregulated
ENSG00000130377	66.182332953742	-5.49577618262401	0.12824466953221	-42.8538371432561	0	0	Downregulated
ENSG00000130707	33109.5391951429	3.99094571832652	0.10266343385207	38.8740719902003	0	0	Upregulated
ENSG00000130783	70.3132304113536	-4.91668962391405	0.120131787037784	-40.9274659534336	0	0	Downregulated
ENSG00000133318	12261.2069456931	2.21905720232542	0.0557817056781393	39.7810926601884	0	0	Upregulated
ENSG00000134183	65.750388921579	-5.45098651202744	0.136377443529767	-39.9698540384919	0	0	Downregulated
ENSG00000134571	65.9949080764204	-6.43279773443453	0.135860859846208	-47.348425011562	0	0	Downregulated
ENSG00000135480	29800.089920237	6.48095541469228	0.122842322103148	52.7583271280914	0	0	Upregulated
ENSG00000137309	29070.7580913821	5.78454474834405	0.0961467743930737	60.1636902003107	0	0	Upregulated
ENSG00000138430	6552.04586132402	2.48529942624234	0.0643251908590386	38.6364874017801	0	0	Upregulated
ENSG00000139155	66.2605244709042	-5.44187365606033	0.141273289060676	-38.5201880146152	0	0	Downregulated
ENSG00000140932	67.4996452441359	-5.27270001042273	0.132206230221935	-39.8823867950205	0	0	Downregulated
ENSG00000140955	70.835934753591	-5.47625213423044	0.131832238532607	-41.539552048765	0	0	Downregulated
ENSG00000141086	94.3156339902294	-4.22542007110585	0.107279459925159	-39.3870371276442	0	0	Downregulated
ENSG00000141738	5618.88746316535	3.96711821527619	0.103304605653981	38.4021427714856	0	0	Upregulated
ENSG00000143126	10794.1975871054	4.19731785764266	0.0997331276305441	42.0854931291375	0	0	Upregulated
ENSG00000143257	74.72491263861	-4.34792358393497	0.111715513288363	-38.9196044126117	0	0	Downregulated
ENSG00000143294	5696.51457565816	1.82614251881495	0.0468650458290019	38.9659817143477	0	0	Upregulated
