ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	90	0.6564540381137784	2.7041977648567137	3.4239245787057202e-16	2.4378343000384727e-13	2.1264373699330263e-13	3867	tags=73%, list=24%, signal=56%	7351/9551/1329/4728/509/1340/9377/4715/1349/4709/1337/4701/1351/522/506/7384/4711/55967/4726/4696/4722/1347/518/4710/4729/4713/6390/27089/4706/4694/4718/51079/29796/515/514/292/10975/7386/4702/10632/10063/516/4704/4695/4708/4716/517/4712/4697/93974/6392/513/521/4700/4717/4698/6391/4725/10476/4731/7388/126328/4707/1345/1327/539
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	52	0.6664221188382855	2.457184348995415	2.420885727982064e-10	8.618353191616148e-8	7.517487260575884e-8	3978	tags=79%, list=25%, signal=59%	9551/4728/4715/4701/522/506/4711/4726/4696/4722/518/4710/4729/4713/4706/4718/515/514/4702/10632/516/4704/4695/3002/4708/4716/517/4712/4697/513/521/4700/4717/4698/4725/10476/4731/126328/4707/539/537
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	49	0.6400242205952542	2.3314547437844957	1.2352051381101747e-8	2.9315535277814816e-6	2.5570913385438707e-6	3424	tags=61%, list=22%, signal=48%	51300/4715/4709/4701/4711/55967/4726/4696/4722/54539/4710/4729/4713/4706/4694/4718/51079/4702/4695/4708/29078/4716/4712/25915/4700/4717/4698/4725/137682/4731
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION	60	0.6044598360299187	2.30662454772522	5.377472295838941e-8	7.657520549274653e-6	6.679386641147318e-6	3991	tags=65%, list=25%, signal=49%	6184/5690/7347/5691/3014/5686/5714/5683/10197/7322/5693/5698/5692/5696/5720/5708/7321/5704/5694/6185/5687/5716/5701/5685/5688/3106/5721/5707/3135/5702/5699/5682/7317/5695/3107/5718/5700/3105/5710
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	140	0.47378843256113645	2.0748477695427687	4.362674177256285e-8	7.657520549274653e-6	6.679386641147318e-6	3977	tags=51%, list=25%, signal=38%	1329/4728/1340/9377/841/4715/1349/4709/1337/578/4701/1351/7384/4711/7124/55967/4726/637/4696/4722/1347/1537/54539/4710/51094/4729/4713/6390/27089/4706/4694/4718/51079/29796/10975/7386/1050/4702/4704/4695/4296/4708/5879/54205/4716/998/4712/6347/4697/6392/5571/7494/5296/4700/4717/4698/3553/2931/6391/4725/836/4731/7388/8503/126328/4707/1345/1327/2932/5291/581
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	87	0.5367056400054222	2.2044749574415303	6.68652795788319e-8	7.93467984335472e-6	6.921142973949269e-6	2081	tags=36%, list=13%, signal=31%	7272/9133/983/81620/24137/891/7153/5877/6241/8318/1870/898/54443/4173/1871/7298/10733/1869/4998/5111/8030/6119/1719/1633/1111/595/890/7027/5427/5983/5984
WP_CELL_CYCLE	WP_CELL_CYCLE	118	0.4689237012940391	2.007741126984478	1.2146643921379158e-6	1.2354872102888513e-4	1.0776721674607072e-4	1722	tags=27%, list=11%, signal=24%	991/9232/7272/9133/1029/995/983/9088/891/699/8318/5347/9700/4171/1870/898/8900/4173/990/23594/1871/1869/4998/5111/7529/27127/7534/1111/595/890/51529/7027
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	28	0.6688089465336148	2.1527977871775072	7.343619513251639e-6	6.535821366793959e-4	5.700967780024299e-4	644	tags=43%, list=4%, signal=41%	11065/22974/1894/4605/7153/1063/56992/8900/4173/3020/144455/8607
WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION	14	0.7950869442331624	2.1817938765591314	8.958124675477878e-6	6.67539533415284e-4	5.822713257170573e-4	600	tags=50%, list=4%, signal=48%	991/9232/701/699/9700/4085/1062
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	60	0.5462471806959466	2.0844844951064694	1.0014479037093992e-5	6.67539533415284e-4	5.822713257170573e-4	5273	tags=65%, list=33%, signal=44%	58191/6696/6373/3627/7124/284340/56477/6364/6355/4312/4283/4318/6375/6374/6348/6352/6370/6351/6347/6354/6846/10673/51561/6372/3553/2919/3606/6356/3592/6367/10563/6362/3600/5008/3976/3589/4049/10148/9547
WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	34	0.6151502081939428	2.0777344362076153	1.0313110769056353e-5	6.67539533415284e-4	5.822713257170573e-4	1380	tags=32%, list=9%, signal=30%	9232/151648/113130/983/9212/5347/9700/157570/151246/27127/9985
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY	31	0.6428292305142921	2.1092492488712278	1.4205895416592733e-5	8.428831280511688e-4	7.352173943675188e-4	2169	tags=52%, list=14%, signal=45%	25953/1329/1340/9377/1349/388753/1337/1351/1347/100131801/25994/10063/51241/80775/28958/4697
WP_BARDETBIEDL_SYNDROME	WP_BARDETBIEDL_SYNDROME	86	-0.41259624100409487	-1.9908743299077671	1.6588591009139063e-5	8.46008832543268e-4	7.379438367837496e-4	3086	tags=40%, list=19%, signal=32%	51626/26160/129880/582/27241/57560/22897/755/92482/2736/57539/28981/49855/56623/585/11020/132884/79809/2121/374654/79659/55212/27130/123016/5310/4952/4750/406/57728/80184/583/5311/201163/27031
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	100	-0.38285279035134545	-1.9031230289435381	1.6635005134277744e-5	8.46008832543268e-4	7.379438367837496e-4	3979	tags=51%, list=25%, signal=38%	51057/22920/79363/54903/90410/79770/132320/51174/7289/55764/11116/79598/85302/9742/10464/11127/51626/26160/129880/11159/582/80210/84455/27241/57560/65250/57539/23552/28981/9851/8100/55125/56623/585/57534/64927/11020/132884/8481/80817/79809/2121/79659/55212/123016/60684/51175/153241/57728/583/146057
WP_PANCREATIC_CANCER_SUBTYPES	WP_PANCREATIC_CANCER_SUBTYPES	27	0.6404892853793251	2.0523275739509272	3.499069465664201e-5	0.0016008576455974878	0.0013963719853674126	2440	tags=48%, list=15%, signal=41%	3855/51442/79170/93273/3872/6513/10551/1510/155465/55808/4069/6273/1474
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING	WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING	215	0.3684163952411478	1.688257215001499	3.597432911455029e-5	0.0016008576455974878	0.0013963719853674126	4130	tags=40%, list=26%, signal=30%	332/9133/983/891/6241/5777/8631/51512/58191/841/8836/3429/286827/3627/2537/7124/637/629/3122/4939/7226/6364/6009/6355/3123/2011/4283/1978/5588/3959/1509/6374/5879/708/1508/6348/6352/9540/6351/6772/6347/10280/84335/920/917/3434/6288/3675/914/6372/60/3312/3553/335/64223/836/10410/4615/341/2919/54663/3606/6356/916/6289/3932/3127/8743/6728/84433/3592/196/6367/4086/1234/926/116844/10563/537/65082/10964/7187/1522/3240/929
WP_G_PROTEIN_SIGNALING	WP_G_PROTEIN_SIGNALING	85	-0.38935523051154974	-1.871730487010419	6.04828563093287e-5	0.0025331643348377665	0.0022095904162541136	2554	tags=40%, list=16%, signal=34%	108/2781/2767/9465/111/11216/196883/9138/2788/115/2774/8622/2786/5533/5577/10142/5587/11215/113/5573/2768/5137/5151/2791/109/9590/11214/5153/2784/9630/10681/27115/3708/112
